Count,Hole Size,Plated,Hole Shape,Drill Layer Pair,Hole Type
4,0.60mm (23.62mils),PTH,Slot,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
2,0.70mm (27.56mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
6,0.73mm (28.74mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
4,0.75mm (29.53mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
20,1.00mm (39.37mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
1,1.80mm (70.87mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
1,2.00mm (78.74mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
Total 38,,,,,
